word_or_term,short_definition,long_definition,example,reference
Augmented reality (AR),"An experience which overlays virtual objects on the real-world environment.

See also <Mixed Reality (MR)> and <Virtual Reality (VR)>",Augmented reality is primary current used via a mobile handheld device and not a headset (vs Mixed Reality (MR or MX) which is primarily headset based.,"""Pokémon Go is an augmented reality (AR) mobile game developed and published by Niantic for iOS and Android devices..... It uses the mobile device GPS to locate, capture, battle, and train virtual creatures, called Pokémon, which appear as if they are in the player's real-world location""","Wikipedia

https://en.wikipedia.org/wiki/Pok%C3%A9mon_Go"
Behavioural Archetypes,"A UX tool which helps a designer (and their team) understand and empathise with the people they are designing for. The aim is to broadens their perspective and force them to challenge their own biases and conventions in favor of approaches that align to the people’s goals, needs and pain-points.

See also <Personas>","Archetypes are based on research data, and focus on user behavior and motivation, and many believe they are more useful than <personas> for defining experiences. The aim is to empower your team to immerse themselves in what the customer is doing and what they desire to achieve, resulting in a more accurate UX strategy, and creating a stronger foundation for the project overall.

Archetypes are steeped in user behavior. They contain details from user interviews around a group’s needs, motivations and pain-points. Archetypes focus on the “who does what, when they do it, and why” of your audience research. They provide insight into behavior patterns – how a customer is using a product or service currently.",,
s,"The backlog, also known as  <product backlog> is a prioritised list of everything that is known to be needed in the product. It is the single source of requirements for any changes to be made to the product and is referenced daily by the <scrum team> to determine what they need to work on next. ",The <product owner> is responsbile in ensuring the <backlog>/<product backlog> is kept up to date and has all the right information in there for the <scrum team> use to complete a task. The content is broken up into a <story> and are prioritised for the <scrum team>. The <product backlog> is living and will be constantly changing and evolving on a daily basis and is never complete. ,,"https://www.scrum.org/resources/what-is-a-product-backlog

https://www.agilealliance.org/glossary/backlog/"
Backlog Grooming,See <backlog refinement> for further information,See <backlog refinement> for further information,,
Backlog Refinement,Also known as <backlog grooming>. Backlog refinement is when the <product owner> and some or all of the team review what's coming in the next <sprint>,"Backlog refinement is when the <product owner>, with some or all of the <scrum team> review the <backlog>. This gives the <scrum team> the opportunity to look at what <features> are likely to come up in the next <sprint>. It's also an opportunity to make sure they are prioritised correctly, that they have everything required to deliver that <feature> prior to <sprint planning>. It also means that if there are still questions, then the <product owner> can resolve these ahead of <sprint planning>.",,"https://www.mountaingoatsoftware.com/blog/product-backlog-refinement-grooming

https://www.agilealliance.org/glossary/backlog-grooming/"
Beta (phase of Lab workflow model),"Developing a service to meet demands of a live environment, including understanding how to build and scale the service while continuously make improvements to meet user needs.","Building a fully working service based on the Alpha - this may involve adding/modifying features based on evaluation and design roadmap. This is done in close partnership with government agencies and their technology partners, and includes iterative releases of working versions of the service to the public. At this stage the product will need to meet standards and policies for things like privacy, security and accessibility.",,https://www.digital.govt.nz/standards-and-guidance/strategy-and-planning/digital-lifecycle/
Bias (in computer/AI systems),Computer systems that systematically and unfairly discriminate against certain individuals or groups of individuals in favour of others.,"There are many sources of bias including (but definitely not limited to):
- Preexisting Bias (bias that gets built into a software system because the organization determining the requirements for the software is biased. The software reflects their own bias)
- Technical Bias (Technical bias emerges as a consequence of technical constraints or decisions. Limited space on a display, input devices, and specific algorithms can bias a system in one way or another)
- Emergent Bias (Use of a software system changes over time. Through the addition of new users or new types or sources of data, bias can emerge in ways that are difficult - if not impossible - to predict when the system was built)",,"Bias in Computer Systems
https://vsdesign.org/publications/pdf/64_friedman.pdf"
Big data,"Extremely large data sets that can be analysed computationally to reveal patterns, trends, and associations (often relating to human behaviour and interactions). ",,,"Emerging Technology Landscape
"
Biotechnology,Technology based on biology. It harnesses cellular and biomolecular processes to develop technologies and products that help improve our lives and the health of our planet.,"Examples include:
- Genetics
- Proteomics (large scale study of proteins)",,"Emerging Technology Landscape
"
Bot,"See <Agent>.

An intelligent <Agent> is any device that perceives its environment and takes actions that maximize its chance of successfully achieving its goals.",,,
Calculator (Software),"Simple software with a simple interaction model.

See also <Engine> and <AI>","Software calculators generally
- provide options for the user to select one at a time.
- perform a process that consists of a sequence of steps, each of which applies one operation
- have no purpose other than these processes
- do not accept large amounts of input data or produce many results
- Do not make inferences on results / outcomes","""Non-numerical calculators include life-style and scientific calculators""",
Citizen,"A legally recognised subject of a state, either native or naturalised.","Person who is entitled to enjoy all the legal rights and privileges granted by a state to the people comprising its constituency, and is obligated to obey its laws and to fulfil his or her duties as called upon.",“Jane was well-respected and viewed as an upstanding citizen”.,Business Dictionary
Cloud computing,"Using a network of remote servers to store and access data and software, rather than a local server or device.","The on-demand availability of computer system resources, especially data storage and computing power, without direct active management by the user. The term is generally used to describe data centers available to many users over the Internet.

Clouds may be limited to a single organization (enterprise/private clouds), be available to many organizations (public cloud), or a combination of both (hybrid cloud).

Cloud computing relies on sharing of resources to achieve coherence and economies of scale.",,"Emerging Technology Landscape
https://drive.google.com/file/d/1E9g9uJU6w260bIV33cK0vprhfvBowCLY/view?usp=sharing

https://en.wikipedia.org/wiki/Cloud_computing"
"Common capabilities
","The collection of standards, processes, resources, tools, skills and behaviours needed to ensure a consistent, integrated and seamless service experience across all the various integrated services operating within the <FSD> ecosystem.
",,,Federated Services Delivery Glossary
Complex Problems,Problems with no obvoius solution ,,,
Concept,a provocative glimpse at whats possible,A concept is of something that does not exist but can be made of or be based on things that do exist,"Examples of concept design:
speculative client work
exploratory projects
concept products
pre-production designs",
Continuous Improvement,"A foundational principle of Agile: ""At regular intervals, the team reflects on how to become more effective, then tunes and adjusts its behavior accordingly.""

Can also be applied to products/services - where it means reacting to user needs, stakeholder demands, and evolving targets.","An Agile team will typically hold a reflection session or <Retrospective> after each iteration or <Sprint>. This is a chance for the entire team to surface what's been going well, what could be improved, and the improvements or changes the team will focus on in the next <Sprint>.",speculative client work,"Service Innovation Work Programme 2018 2019 with detail
https://drive.google.com/open?id=1fLO2VbHkHccF4A1ixoTsRkNBgF8hzSFU"
Daily huddle ,See <daily stand-up>,See <daily stand-up>,exploratory projects,
"Daily stand-up 
(Tū mai)","The stand-up is a daily meeting, is one of the Scrum practices. It's a meeting which lasts between 5 - 15 minutes and the <scrum team> discuss three questions:
 - what did you do yesterday
 - what are you doing today 
 - are there any blocks from stopping you completing this task?","The stand-up is a daily meeting, is one of the Scrum practices and gives the team the opportunity to self organise for the day. It's also know as the daily huddle. It's a good opportunity to draw awareness to any 'hidden' work and create transparency within the team on other tasks that they might need to make time for during the day.

It's held at the same time and the same location daily and the team must stand-up (this helps keep the focus tight). 

It's a meeting which lasts between 5 - 15 minutes, but should never exceed 15 minutes and the <scrum team> discuss three questions:
 - what did you do yesterday
 - what are you doing today 
 - are there any blocks from stopping you completing this task?",concept products,"https://www.mountaingoatsoftware.com/agile/scrum/meetings/daily-scrum

https://en.wikipedia.org/wiki/Stand-up_meeting"
Data,"Raw and unprocessed facts, usually in the form of numbers and text. Data can be quantitative (measured) or qualitative (observed).

See also <Information> and <Insight>",,prototypes,https://www.forbes.com/sites/brentdykes/2016/04/26/actionable-insights-the-missing-link-between-data-and-business-value
"Design Sprint
(Ohia mano)","A (typically) five-day intense workshop-style process for answering questions through design, prototyping, and testing ideas with customers.","The (Google) Design Sprint was developed by Google Ventures based on a bunch of good practice from dSchool, IDEO etc. 

Design Sprints can vary in length - but care must be taken not to lose the benefits of their highly structured process. The Lab has run a number of three day design intensive sprints recently (16/10/2018).",pre-production designs,"The Design Sprint
http://www.gv.com/sprint/

https://designsprintkit.withgoogle.com/introduction/overview"
Design Thinking,A set of mindsets and skillsets that can be used by anyone to examine and understand a problem and to drive better ideas and launch more experiments into the world.,"Design Thinking is based on the idea that the best way to learn is by doing, working on real problems in real time.

The (Google) <Design Sprint> is a well known example of a multi-stage Design Thinking workshop.",,The Design Gym
Digital Service Council (DSC),Established in 2013 (and replaced by SIWG in 2015) to provide governance to the Result 10 programme of work. ,"The council was made up of 8 agencies: Department of Conservation, DIA, IR, MBIE, MSD, NZ Customs, Police, NZTA.

The council club-funded the programme until July 2015 when it became funded by other means. Club-funding meant that each agency contributed an amount into a pool that the overall programme was then funded from.
",,"Service Innovation Lab - Welcome Pack
https://docs.google.com/document/d/1DQOS4bhd8VcZY2ftpGGN-lco-5jdiI9_z66Yg4Jpu-Y/edit?usp=sharing
"
Discovery,The second phase in the Service Innovation Operational Workflow Model where an evidence led process is followed to identify potential changes that will benefit customers. ,"This phase involves a deep dive on a specific opportunity by looking at the problems customers are facing, analysis of the causes behind these problems, hypothesis led validation to test assumptions and ideation and potentially prototyping to develop a range of change concepts that could help users. There are two types of Discovery - <Discovery - Research Discovery> and <Discovery - Design Discovery>. A decision about which type of Discovery is required is made in the <Scoping> phase.",,"""Service Innovation Work Programme 2018 2019 with detail
https://drive.google.com/open?id=1fLO2VbHkHccF4A1ixoTsRkNBgF8hzSFU""

Service Innovation Lab - Operational Workflow Model
https://docs.google.com/document/d/1vxH0hOLGa9SQGH7xIQnODQXUIqKl7TDa0svCCBAEDAM/edit?usp=sharing"
Discovery - Design Discovery,"A standard rapid Lean product/service validation process starting with a design brief or Lean Canvas, problem definition, problem validation, and finishing with solution validation.","If the needs of users are well understood, and clear problems have been identified then it may be possible to begin this Discovery stage without a Research Discovery. Deliverables from this stage include a description of future state, defined measures of success, a bunch of prototyped solutions which didn't solve the problem, and a validated prototype that is worth (re)developing into an Alpha (or not!).",,Service Innovation Lab - Operational Workflow Model https://docs.google.com/document/d/1vxH0hOLGa9SQGH7xIQnODQXUIqKl7TDa0svCCBAEDAM/edit?usp=sharing
Discovery - Research Discovery,Focused research into the needs of users in a defined opportunity area with the aim of identifying problems which are worth defining in more detail (and solving for) in a <Discovery - Design Discovery> phase.,"A substantial piece of research investigation and evidencing. It is applicable to complex issues that fall within but are not limited to, a ‘Life Event’.

Consists of two sub-phases 
1) Understand: broad and shallow research 
2) Refine: narrow and deep research into particular issues (what's the problem, who is experiencing it, when it is happening)",,Service Innovation Lab - Operational Workflow Model https://docs.google.com/document/d/1vxH0hOLGa9SQGH7xIQnODQXUIqKl7TDa0svCCBAEDAM/edit?usp=sharing
Encryption,"Converting data from a readable form to an encoded version that can only be decoded by another party if they have access to a decryption key. Encryption is used to help keep data private, both when it is  transmitted across networks, and when it is stored.","There are two common categories of encryption:

1) Aymmetric-key ciphers, also referred to as ""secret key,"" use a single key, sometimes referred to as a shared secret because the system doing the encryption must share it with any entity it intends to be able to decrypt the encrypted data. The most widely used symmetric-key cipher is the Advanced Encryption Standard (AES), which was designed to protect government classified information. The challenge with this form of encryption is that the sender must exchange the key used to encrypt the data with the recipient before the recipient can perform decryption on the ciphertext. The need to securely distribute and manage large numbers of keys means most cryptographic processes use a symmetric algorithm to efficiently encrypt data, but they use an asymmetric algorithm to securely exchange the secret key.

2) Asymmetric cryptography, also known as public key cryptography, uses two different but mathematically linked keys, one public and one private. The public key can be shared with everyone (and is used to encrypt data), whereas the private key must be kept secret (as it is used to decrypt data which has been encrypted with the private key). The RSA encryption algorithm is the most widely used public key algorithm (the Secure Socket Layer (SSL) used by web browsers using the HTTPS protocol). 
This form of cryptography can also be used to ensure the integrity (was the data altered since being encrypted), authenticity (are you sure it came from the source you think it did) of data through the use of digital signatures.","Emerging Tech Landscape:
""Encryption assists in protecting privacy. It
turns sensitive information into “for your eyes only” that’s intended only for the parties that need to access it""","https://en.wikipedia.org/wiki/RSA_(cryptosystem)

https://en.wiktionary.org/wiki/nonreputable#English

https://searchsecurity.techtarget.com/definition/encryption"
End User,"Person who ultimately uses or is ultimately intended to use a deliverable (product, service, process etc).","An end user is the person that a deliverable (service, software program, hardware device, product, process etc) is designed for - and who uses the deliverable after it has been fully developed (and potentially marketed, and installed).","“Organisations should always keep the end user in mind when designing a new service”.

""Identify your users and understand their ongoing needs. 
- Conduct holistic research on the real needs of your users from their point of view and what that means for the design of the service...""","The Tech Terms Computer Dictionary

https://www.digital.govt.nz/standards-and-guidance/digital-service-design-standard/principles/#Principles-1"
Engine (Software Engine),"Software components an order of magnitude more complex than ordinary modules of software. 

Typically software modules pass data to a software engine and the engine transforms data into a different state.

See also <Calculator> and <Agent>","Examples of software engines include workflow engines, inference engines, search engines, and relational database engines.

Normally software engines can be tuned - like a car engine (unlike less sophisticated software which requires refactoring to improve it). 
","""A game engine is a software development environment designed for people to build video games. Developers use them to create games for consoles, mobile devices, and personal computers.'

""Other examples of engines are Audio, Video, Image heavy processing engines and specialized proprietary rendering engines in Hollywood films which require lot of visual optimizations.""",
Entity,A thing with distinct and independent existence,"An entity is something that exists separately from other things and has a clear identity of its own. An entity can include an individual, business, device or system.","Example: “Although Government buildings are in separate locations, Government is considered to be a single entity”",Collins English Dictionary
Epic,"A large feature written as a <user story> that needs to be broken down into more bite sized pieces of work and prioritised in the <product backlog>, that the <scrum team> use to deliver a product.","An epic is a large <user story> or <feature> that cannot be delivered as defined within a single <sprint> or is large enough that it can be split into smaller <user stories>. It can also be represented by a short phrase instead of a <user story> depending on what it is.

Epics give you the ability to track large, loosely defined ideas in the <backlog> without the need to overpopulate your backlog with multiple items, if the idea isn't fully formed yet. At the point that it's more formed you are able to break the epic down into smaller <user stories> and track against the delivery of the epic.","Epic: 
As a user, I can backup my entire hard drive.


User stories:
As a power user, I can specify files or folders to backup based on file size, date created and date modified.

As a user, I can indicate folders not to backup so that my backup drive isn't filled up with things I don't need saved.","https://www.agilealliance.org/glossary/epic/

https://www.mountaingoatsoftware.com/agile/user-stories"
Estimation,Estimation is what effort the <scrum team> think it's going to take to deliver a feature or <user story> from the <product backlog>.,"Estimation is what effort the <scrum team> think it's going to take to deliver a feature or <user story> from the <product backlog>.

An estimation also informs how much work the <scrum team> think they can bring into a <sprint> and deliver within that timeframe. Estimation can be done a couple of ways, the most basic being tee shirt sizing (small, medium or large) or using Fibonacci. Estimation isn't a measure of time involved to deliver something, but the effort. Estimation is also known as <story points>, <sizing>.",,https://www.agilealliance.org/glossary/estimation/
Federated Architecture (FA),A pattern in enterprise architecture that allows interoperability and information sharing between semi-autonomous de-centrally organized service providers.,,,Modified from Wikipedia
Federated Service Delivery (FSD),"The working name of Result 10, Action 5. It is focused on taking a truly customer-centric view of delivering government services.","Result 10 completed extensive customer research during which customers told us they experienced a lot of pain points when dealing with government services - including having to approach several different government agencies to get things done. Federated Service Delivery seeks to address these issues by putting customers at the centre of all government service delivery - removing artificial demarcations, particularly around significant life events such as having a baby or embarking on tertiary study.

Federated Service Delivery is closely related to Result 10, Action 4 - ""Consolidate and rationalise the government web domain and rewrite service information to make transactions easier to find and use.""

See also <Federated Architecture (FA)>","""Agencies are being asked to apply a “federated services” model to integrate their services for customers but because there is no reference implementation for this, they are having to undertake the financial and technical risk in interpreting what it means.""

""Federated services model: seamless digital services for users, consumable authoritative components (data, content, transaction services, business rules), personalisation?""

""The DSC chose the ‘federated’ term deliberately to reflect the fact they were seeking to build a collaborative, distributed model of integrated services rather than a highly centralised model.""","Introducing Federated Service Delivery
https://www.digital.govt.nz/blog/introducing-federated-service-delivery/

Draft Lab+ work plan (April - June 2017)
https://docs.google.com/presentation/d/16EY6o7udZFjp2DsFEPSZyvWKpS5AlCTv8wflRgPCj8s/edit?usp=sharing"
Hypothesis,"A provisional idea which is proven to be ""true"" or ""false"" through an experiment. ","If you believe something might be true but don’t yet have definitive proof, it is considered a theory (or hypothesis) until that proof is provided

For a hypothesis to be a scientific hypothesis, the scientific method requires that one can verify or test it. Scientists generally base scientific hypotheses on previous observations that cannot satisfactorily be explained with the available scientific theories. 

In ""entrepreneurial science"", a hypothesis is used to formulate provisional ideas within a business setting. The formulated hypothesis is then evaluated where either the hypothesis is proven to be ""true"" or ""false"" through an experiment which is either verifiability or falsifiability oriented .",,"https://en.wikipedia.org/wiki/Hypothesis

For a very formal definition of hypothesis testing:
http://mathworld.wolfram.com/HypothesisTesting.html"
Hypothesis - Null Hypothesis,A null hypothesis is the proposition that there is no cause and effect relationship between phenomena or populations. ,"Using a null hypothesis is useful because it can be tested and found to be false, which then implies that there is a relationship between the observed data.

It is much easier to disprove a hypothesis than to positively prove one.

A common approach is to reject a null hypothesis if the observed data are significantly unlikely (stats definition) to have occurred if the null hypothesis were true.","""Hyperactivity is unrelated to eating sugar"" is an example of a null hypothesis. If the hypothesis is tested and found to be false, using statistics, then a connection between hyperactivity and sugar ingestion may be indicated. A significance test is the most common statistical test used to establish confidence in a null hypothesis.""

""You may be wondering why you would want to test a hypothesis just to find it false. Why not just test an alternate hypothesis and find it true? The short answer is that it is part of the scientific method. In science, propositions are not explicitly ""proven."" Rather, science uses math to determine the probability that a statement is true or false. It turns out it's much easier to disprove a hypothesis than to positively prove one. Also, while the null hypothesis may be simply stated, there's a good chance the alternate hypothesis is incorrect.""","Wikipedia

https://www.thoughtco.com/definition-of-null-hypothesis-and-examples-605436"
Information,"Data that has been processed, aggregated and organized into a more human-friendly format that provides more context. Information is often delivered in the form of data visualisations, reports and dashboards.

See also <Data> and <Insight>",,,
Innovating at scale,The collobative practices which create an empowered networked community resulting in value for government and the broader economy.,"Working with the community in an open, cooperative, participative manner - government to working as a keystone member of the community (working with the community to meet the needs of the community). ",,Service Innovation Toolkit
Insight,"Conclusions generated by analyzing information that can influence decisions and drive change.

Design Insights are breakthroughs that reveal behavior patterns and drive bold decisions. By shedding light on behavior patterns, they can point design teams in new directions that would otherwise go unexplored. They are NOT observations, data or user wish or need.

See also <Data>, <Information>, and <Actionable Insight> ","<Data>, <information> and insights are not synonyms. Data is raw and unprocessed facts, usually in the form of numbers and text. Information is data that has been processed, aggregated and organized into a more human-friendly format that provides more context. Insights are generated by analyzing information and drawing conclusions. 

Design Insights can shape a project during any point in the product development process by revealing behavior patterns that are normally lost, hidden or obscured. By bringing these patterns in view, we can make observations and form connections between them, as well as predict future behaviors. This deep understanding of the true nature and motivations behind user behaviors prevents teams from going too far down wrong paths, and leads us to better ideas, better solutions, and ultimately better products/services.","""my Fitbit watch gives me all kinds of activity data: steps, BPM (heart beats per minute), and so on. If my watch says I’ve taken 7,442 steps today, this single fact is fairly useless, especially without more context - but my Fitbit app includes a number of data tables and visualizations (information) such as a weekly steps report where I can see how many steps I completed each day. When I analyze this trended information I can see my current trajectory is ahead of what I accomplished the past few days and with a little extra effort in the evening I can reach my daily target (insight: I only need 2,558 more steps in the next 5 hours to reach my daily target).","https://www.forbes.com/sites/brentdykes/2016/04/26/actionable-insights-the-missing-link-between-data-and-business-value

https://www.techopedia.com/definition/31721/actionable-insight

https://en.wikipedia.org/wiki/Insight

https://hbr.org/2012/09/metrics-are-easy-insights-are-hard

https://zurb.com/design_insights https://thrivethinking.com/2016/03/28/what-is-insight-definition/"
Internet of Things (IoT),"Devices with the ability to transfer data over a network without requiring human-to-human or human-to-computer interaction. This includes (but isn't limited to!) cellphones, coffee makers, washing machines, headphones, lights, wearable devices, and components of machines (for example a car engine, or wheel bearing).","IoT is a big topic at the moment because it can be applied both at a small scale (e.g. automating data collection from components in manufacturing to predict when they will fail), and to things like transportation networks and ""smart cities"" which can help us reduce waste and improve efficiency for things such as energy use. It has enormous potential to help us measure, understand, and improve how we work and live. 

Note: 
1) A number of factors mean that the number of connected things is skyrocketing (Gartner estimatres by 2020 there will be over 26 billion connected devices, some say 100 billion). Big contibutors include the cost of connecting to the internet decreasing rapidly, and more and more devices being created with Wi-Fi capabilities (and sensors built in) - again due to costs coming down.
2) The ""internet"" in the name is misleading because devices may be connected in a home or factory via non-IP (internet) networks (such as ""ZigBee"") to a router. The impact of these connected devices is typically included when talking about IoT.
3) Many IoT devices use web protocols to communicate (these are a subset of the ways to communicate using the internet), but not all do.","Emerging Tech Landscape:
""Network-enabled smart devices that use embedded processors, sensors and communication hardware to collect, send and act on data they acquire from their environments""",https://www.forbes.com/sites/jacobmorgan/2014/05/13/simple-explanation-internet-things-that-anyone-can-understand/#b07ea0d1d091
Lean Canvas,"A strategic tool to synthesise business, project or
product ideas on to one (typically A3) page.


","A tool used as part of lean startup methodology for developing products, which aims to shorten product development cycles (and achieves this by adopting a combination of hypothesis-driven experimentation, iterative product releases, and validated learning).

","""A key focus of the Lean Canvas is on understanding the problem to be solved. Most products (product companies) fail, not because they fail to build what they set out to build, but because they waste time, money, and effort building the wrong product. A huge conttibutor to this is a failure to understand the problem at the start.""","Wikipedia

https://blog.leanstack.com/why-lean-canvas-vs-business-model-canvas-af62c0f250f0"
Life Event,A life event is a major event or related series of events that change a person's status or circumstances.,"Examples of life events include giving birth, marriage, divorce, death of spouse, or loss of a job. 

When customers contact government in the course of a life event (eg enrolling for tertiary education) they do so in order to achieve a task or goal greater than the scope of individual agency services.",,Federated Services Delivery Glossary
